Suhu_DHT22,Kelembapan_DHT22,PPM_MQ135,Gerakan_PIR,Status_Kipas
29.7,69.6,499.7,0,NYALA
29.8,35.9,169.3,0,MATI
24.9,68.0,364.1,1,NYALA
29.6,55.0,598.1,0,NYALA
27.7,55.1,355.8,0,NYALA
24.0,50.5,197.4,1,MATI
24.0,59.8,146.7,1,MATI
32.4,43.4,128.5,1,NYALA
29.7,66.3,446.4,1,NYALA
30.0,44.8,208.8,1,NYALA
27.0,55.7,577.3,1,NYALA
32.3,39.7,141.6,0,MATI
31.8,35.5,167.4,0,MATI
29.6,72.9,499.5,1,NYALA
24.3,61.5,447.2,1,NYALA
32.3,59.3,198.9,1,NYALA
29.4,56.0,129.7,1,NYALA
24.3,53.0,80.4,0,MATI
23.5,57.1,179.0,1,MATI
23.2,53.6,111.6,1,MATI
23.9,55.0,84.4,0,MATI
33.2,52.8,235.3,1,NYALA
23.1,64.6,139.4,0,MATI
32.1,55.4,184.2,1,NYALA
24.1,51.7,110.8,0,MATI
23.1,56.4,131.4,1,MATI
29.4,60.0,452.6,0,NYALA
30.0,41.5,157.7,1,NYALA
29.6,71.2,508.4,1,NYALA
28.8,58.7,573.1,0,NYALA
29.6,40.3,172.5,0,MATI
22.7,56.4,137.3,0,MATI
22.9,52.5,117.4,0,MATI
33.0,45.4,151.7,1,NYALA
23.8,55.2,170.3,1,MATI
22.2,53.8,97.3,0,MATI
32.6,37.2,179.8,0,MATI
24.5,55.0,105.1,1,MATI
30.7,52.7,208.5,1,NYALA
31.7,59.7,151.5,1,NYALA
24.5,62.4,410.5,1,NYALA
32.6,52.7,189.7,1,NYALA
22.5,57.6,128.7,0,MATI
24.5,56.8,101.7,1,MATI
25.0,53.5,109.6,1,MATI
24.1,55.8,145.6,0,MATI
24.0,61.0,94.6,0,MATI
30.3,44.9,165.4,0,MATI
23.5,53.9,149.7,0,MATI
27.3,72.7,397.2,0,NYALA
24.8,58.5,185.6,1,MATI
23.9,51.3,91.3,0,MATI
27.5,62.4,585.0,0,NYALA
30.3,46.1,183.1,1,NYALA
24.6,52.2,171.2,1,MATI
23.5,52.7,105.7,0,MATI
24.6,55.7,109.4,1,MATI
24.6,52.5,159.0,1,MATI
31.7,58.1,176.5,1,NYALA
31.8,51.5,184.0,1,NYALA
30.0,50.0,194.4,1,NYALA
22.1,64.9,112.9,0,MATI
34.2,55.0,243.9,1,NYALA
31.3,59.3,245.3,1,NYALA
22.2,54.6,93.4,0,MATI
23.0,52.5,119.0,0,MATI
33.7,36.1,116.7,0,MATI
30.3,39.4,125.8,0,MATI
22.4,60.6,118.7,0,MATI
33.0,47.2,169.4,0,MATI
29.0,40.1,201.6,1,NYALA
27.9,69.0,548.9,1,NYALA
23.8,53.8,109.4,1,MATI
24.2,55.4,128.7,1,MATI
33.3,38.8,103.1,0,MATI
23.3,55.2,177.0,1,MATI
29.8,64.1,560.5,1,NYALA
26.5,69.0,384.6,1,NYALA
34.8,54.3,125.3,1,NYALA
24.1,50.8,102.5,1,MATI
29.0,48.6,209.5,1,NYALA
22.5,52.3,97.5,0,MATI
24.0,54.2,146.8,0,MATI
32.5,48.4,152.2,1,NYALA
24.9,50.1,111.6,1,MATI
29.1,46.2,247.3,1,NYALA
31.6,42.0,183.9,1,NYALA
25.0,63.7,449.6,1,NYALA
34.3,45.2,122.0,1,NYALA
24.3,58.6,165.9,1,MATI
27.7,73.9,586.1,1,NYALA
25.0,56.8,157.3,1,MATI
23.4,58.2,145.9,0,MATI
25.1,56.5,120.7,1,MATI
29.0,42.0,122.4,1,NYALA
24.5,53.4,165.6,1,MATI
34.0,40.5,225.9,1,NYALA
23.5,60.4,104.4,0,MATI
25.2,57.4,180.3,1,MATI
23.6,56.4,119.8,0,MATI
25.5,54.1,137.2,1,MATI
30.1,53.6,216.2,1,NYALA
23.3,59.0,150.5,1,MATI
23.0,63.4,107.2,0,MATI
29.8,71.9,438.7,1,NYALA
27.4,67.6,462.1,0,NYALA
26.0,68.5,538.1,0,NYALA
22.3,64.0,148.2,0,MATI
31.2,48.3,128.1,0,MATI
33.8,45.3,167.0,0,MATI
22.3,51.3,129.1,0,MATI
31.0,48.4,111.7,0,MATI
29.1,59.7,168.7,1,NYALA
24.6,53.6,143.5,0,MATI
33.4,47.5,130.9,1,NYALA
31.0,54.1,152.3,1,NYALA
23.3,54.9,101.1,1,MATI
27.4,69.8,541.8,0,NYALA
24.2,60.2,96.6,0,MATI
23.1,54.3,140.8,0,MATI
34.8,40.2,246.1,1,NYALA
30.6,40.9,240.2,1,NYALA
24.4,66.1,592.3,1,NYALA
22.7,54.4,149.7,0,MATI
25.3,50.5,128.1,1,MATI
24.6,61.7,392.4,1,NYALA
30.9,38.4,121.3,0,MATI
34.8,59.7,210.8,1,NYALA
22.8,56.2,122.2,0,MATI
29.4,41.5,242.3,1,NYALA
24.8,56.1,141.8,1,MATI
31.8,37.5,132.9,0,MATI
23.4,64.8,106.4,0,MATI
30.9,49.5,167.4,0,MATI
28.9,40.7,137.4,1,NYALA
28.9,57.3,225.7,1,NYALA
35.0,51.1,220.0,1,NYALA
33.4,47.6,151.3,1,NYALA
22.4,64.3,122.4,0,MATI
24.0,59.3,105.1,0,MATI
31.5,42.1,166.5,0,MATI
33.3,43.3,144.9,0,MATI
24.0,51.3,102.9,1,MATI
32.5,54.1,147.7,1,NYALA
29.9,67.2,509.2,0,NYALA
23.2,57.3,154.7,1,MATI
24.4,55.9,123.5,0,MATI
24.7,58.0,145.9,1,MATI
23.5,53.9,112.1,0,MATI
32.1,40.2,116.7,0,MATI
23.6,50.8,112.9,1,MATI
23.3,56.4,118.2,1,MATI
24.7,57.1,126.7,0,MATI
32.0,38.4,165.7,0,MATI
30.4,37.7,107.1,0,MATI
23.6,55.3,142.6,0,MATI
23.5,60.4,82.8,0,MATI
23.4,60.3,115.8,0,MATI
25.3,50.6,127.7,1,MATI
22.3,59.0,149.0,0,MATI
32.8,43.0,157.6,0,MATI
29.2,38.8,157.1,0,MATI
24.3,51.1,144.7,1,MATI
24.0,51.0,173.7,1,MATI
24.1,61.4,402.9,1,NYALA
25.4,61.9,468.5,1,NYALA
24.6,54.8,158.4,1,MATI
31.8,43.8,145.2,0,MATI
