Waktu,Suhu,Kelembapan,Gas_PPM,Gerakan_PIR,Status_Kipas
2026-05-27 23:47:19,25.1,48.7,335.49,0,MATI
2026-05-27 23:47:22,24.2,54.5,243.02,0,MATI
2026-05-27 23:47:25,27.2,66.6,407.72,0,NYALA
2026-05-27 23:47:28,32.8,55.3,464.67,0,NYALA
2026-05-27 23:47:31,34.7,60.6,283.02,0,NYALA
2026-05-27 23:47:34,31.5,68.6,439.45,1,NYALA
2026-05-27 23:47:37,35.7,67.1,343.15,0,NYALA
2026-05-27 23:47:40,24.8,53.0,482.01,0,NYALA
2026-05-27 23:47:43,27.1,62.5,345.89,0,MATI
2026-05-27 23:47:46,29.1,53.2,219.1,0,MATI
2026-05-27 23:47:49,24.9,49.9,531.2,0,NYALA
2026-05-27 23:47:52,24.7,48.0,276.31,0,MATI
2026-05-27 23:47:55,28.3,62.5,509.14,0,NYALA
2026-05-27 23:47:58,30.2,54.4,219.44,0,MATI
2026-05-27 23:48:01,27.7,59.2,118.1,0,MATI
2026-05-27 23:48:04,27.1,52.1,252.71,0,MATI
2026-05-27 23:48:07,32.6,58.6,425.96,0,NYALA
2026-05-27 23:48:10,27.3,56.8,385.15,0,NYALA
2026-05-27 23:48:13,34.4,71.0,409.43,1,NYALA
2026-05-27 23:48:16,33.6,63.3,427.61,0,NYALA
2026-05-27 23:48:19,36.8,66.1,467.16,0,NYALA
2026-05-27 23:48:22,37.2,61.7,298.13,1,NYALA
2026-05-27 23:48:25,25.5,53.3,462.02,0,NYALA
2026-05-27 23:48:28,26.8,64.5,253.41,1,NYALA
2026-05-27 23:48:31,28.8,62.1,258.27,0,MATI
2026-05-27 23:48:34,36.3,63.0,281.82,1,NYALA
2026-05-27 23:48:37,33.8,51.5,155.84,0,NYALA
2026-05-27 23:48:40,32.6,60.3,368.57,0,NYALA
2026-05-27 23:48:43,33.2,59.3,497.59,0,NYALA
2026-05-27 23:48:46,26.7,59.6,473.98,0,NYALA
2026-05-27 23:48:49,33.6,67.2,503.47,1,NYALA
2026-05-27 23:48:52,25.7,55.5,414.25,0,NYALA
2026-05-27 23:48:55,27.5,63.1,484.53,1,NYALA
2026-05-27 23:48:58,26.7,52.8,395.73,0,NYALA
2026-05-27 23:49:01,37.7,76.3,422.85,0,NYALA
2026-05-27 23:49:04,28.4,64.1,161.23,0,MATI
2026-05-27 23:49:07,33.3,63.4,233.91,0,NYALA
2026-05-27 23:49:10,25.9,58.5,529.01,1,NYALA
2026-05-27 23:49:13,27.1,51.3,214.41,1,NYALA
2026-05-27 23:49:16,27.7,55.2,428.31,0,NYALA
2026-05-27 23:49:19,37.3,63.3,128.52,1,NYALA
2026-05-27 23:49:22,27.4,55.8,281.44,0,MATI
